# Longitud (m)     Campo Magnetico (G)    B_exp/B_teo
  -7.000000e-02     8.100000e+01           9.808788e-01
  -6.000000e-02     9.310000e+01           1.127405e+00
  -5.000000e-02     9.780000e+01           1.184320e+00
  -4.000000e-02     1.002000e+02           1.213383e+00
  -3.000000e-02     1.008000e+02           1.220649e+00
  -2.000000e-02     1.006000e+02           1.218227e+00
  -1.000000e-02     1.000000e+02           1.210962e+00
  0.000000e+00     9.200000e+01           1.114085e+00
  1.000000e-02     9.150000e+01           1.108030e+00
  2.000000e-02     9.000000e+01           1.089865e+00
  3.000000e-02     8.740000e+01           1.058380e+00
  4.000000e-02     8.220000e+01           9.954104e-01
  5.000000e-02     6.980000e+01           8.452511e-01
  6.000000e-02     5.480000e+01           6.636069e-01
